author_id_,after_timegap_,senti_mean,senti_size,senti_category_mean,retweet_size,reply_size,bot_interaction,senti_mean_t2,interaction_times,bot_senti,interaction_senti,retweet_count_original,like_count_original,retweet_count_interaction,like_count_interaction,topic,burstiness,cascade,pos_num,RF_bot_pred_bot,RF_bot_prob_bot,DL_bot_pred_bot,DL_bot_prob_bot,XGB_bot_pred_bot,XGB_bot_prob_bot,BOTOMETER_bot_prob_bot,astroturf_score_bot,fake_follower_score_bot,financial_score_bot,other_score_bot,overall_score_bot,self_declared_score_bot,spammer_score_bot,RF_bot_prob_user,RF_bot_pred_bot_user,DL_bot_pred_user,DL_bot_prob_user,XGB_bot_pred_user,XGB_bot_prob_user,BOTOMETER_bot_prob_user,astroturf_score_human,fake_follower_score_human,financial_score_human,other_score_human,overall_score_human,self_declared_score_human,spammer_score_human,retweet_log_original,like_log_original,without_like_original,retweet_log_interaction,like_log_interaction,without_like_interaction,few_like_original,few_like_interaction,frequent_interact,sample_uid,log_daily_tweet,senti_abs,senti_abs_t2,tg1,senti_abs_sqrt,senti_abs_sqrt_t2,after_10days,after_20days,after_30days,tg1_10days,tg1_20days,tg1_30days
2,-21,-0.25,2,-1.0,2.0,0.0,1,0.5499,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.25,0.5499,-21,0.5,0.5499,0,0,0,0,0,0
2,-20,0.4404,2,1.0,2.0,0.0,1,-0.296,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.4404,0.296,-20,0.6636264009214823,0.296,0,0,0,0,0,0
2,-17,0.5423,2,1.0,2.0,0.0,1,-0.25,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.5423,0.25,-17,0.7364102117705865,0.25,0,0,0,0,0,0
2,-16,-0.5106,2,-1.0,2.0,0.0,1,0.4404,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.5106,0.4404,-16,0.7145628033979938,0.4404,0,0,0,0,0,0
2,-15,0.0,2,0.0,2.0,0.0,1,0.5423,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.0,0.5423,-15,0.0,0.5423,0,0,0,0,0,0
2,-14,-0.5859,2,-1.0,2.0,0.0,1,-0.5106,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.5859,0.5106,-14,0.7654410493303844,0.5106,0,0,0,0,0,0
2,-13,-0.28265,8,-0.25,8.0,0.0,1,0.0,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,2.079441541679836,0.28265,0.0,-13,0.5316483800407935,0.0,0,0,0,0,0,0
2,-12,0.3612,2,1.0,2.0,0.0,1,-0.5859,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.3612,0.5859,-12,0.6009991680526688,0.5859,0,0,0,0,0,0
2,-11,-0.6705,2,-1.0,2.0,0.0,1,-0.28265,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.6705,0.28265,-11,0.8188406438373709,0.28265,0,0,0,0,0,0
2,-9,0.4019,2,1.0,2.0,0.0,1,0.3612,1,,-0.6124,0.0,0.0,0,1,2.0,-0.7558604790297406,0.0,14.0,1.0,0.5679613178100632,1,0.5983852326869965,0,0.1702047735452652,0.7384783166429812,2.8,0.4,0.8,2.2,1.2,0.2,0.0,0.1518604883110135,0.0,0,0.185905635356903,0,0.018619567155838,0.3626456412463227,1.8,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0,1,1,0,,0.6931471805599453,0.4019,0.3612,-9,0.6339558344238185,0.3612,0,0,0,0,0,0
